"ID","質問","回答 (kitchat-searchindex-all)","参照先 (kitchat-searchindex-all)"
"1","What are the work status and types of work style available for KIT employees?","KIT employees typically work from 9:15am to 5:15pm with a break either from 11:45am to 12:45pm or 12:00 noon to 1:00pm. However, supervisors may instruct an employee to adjust these times based on work circumstances. KIT also applies a flextime system for eligible employees, allowing them to manage their own work start and end times. Additionally, a discretionary work system is applied to employees who engage in certain types of work defined by a labor-management agreement.","Work Rules for Regular and Contract Employees_正社員・契約社員就業規則__P14
Work Rules for Regular and Contract Employees_正社員・契約社員就業規則__P13
KIT_HR-Orientation_P3"
"2","Is dual work allowed at KIT?","Dual work is generally not allowed at KIT in order to allow employees to concentrate on their work at KIT. However, there are some exceptional cases where dual work may be permitted with the express approval of KIT.","Dual Work Approval_P9
Work Rules for Regular and Contract Employees_正社員・契約社員就業規則__P13"
"3","How can I apply for dual work?","To apply for dual work, follow these steps:

1. Use Sentinel to check independence and conflict of interest.
2. If the result of Sentinel was a restricted entity, register/post on Independence DB and check safe guard. If the result was not a restricted entity, skip this step and go to step 3.
3. Get approval from Division Head and Lob Partner by email. There is no set format for this email.
4. After getting approval from step 3, get approval from RMP. Fill in the following and send an email to RMP: Title, Name, Rank, OU, Name of your second business. Attach the following documents to the email: Dual work application form, Document to prove independence check, Approve email from OU Head, Approve email from Division Head, Document that explains the business of your second business.
5. After getting approval from step 4, get approval from HR Partner. Use the same email format as step 4.
6. Check independence on July every year and report to HR Labor.","Dual Work Approval_P9
When You Work_P39
兼業申請_P57"
"4","What are the work status and types of work style available for KIT employees?","KIT employees typically work from 9:15am to 5:15pm with a break either from 11:45am to 12:45pm or 12:00 noon to 1:00pm. However, supervisors may instruct an employee to adjust these times based on work circumstances. KIT also applies a flextime system for eligible employees, allowing them to manage their own work start and end times. Additionally, a discretionary work system is applied to employees who engage in certain types of work defined by a labor-management agreement. Days off include Sundays, Saturdays, national holidays, year-end and New Year holidays, and other days mandated by KIT.","Work Rules for Regular and Contract Employees_正社員・契約社員就業規則__P14
Work Rules for Regular and Contract Employees_正社員・契約社員就業規則__P13
KIT_HR-Orientation_P3"
"5","How can I check how many days of time off I have left?","You can check your remaining days of leave by referring to Lysithea, on the left side menu. Please note that the IBS is not available for checking leave balance anymore.","List of Vacation_ Leave_P24
KIT_HR-Orientation_P7
KIT_HR-Orientation_P8"
"6","What should I do to take personal time off?","To take personal time off, follow these steps:

1. Request vacation by sending a message to your OU Head and Product Owner via Microsoft Teams at least a week prior to your planned time off.
2. Wait for the approver to confirm your request via Teams.
3. After getting approval, input and submit your vacation information in the ""KIT 2.0 App OOO Schedule"".
4. Input the leave category on your vacation days in the timesheet of LYSITHEA. Note that this step is not required for Temp staffs and Contractors.

Remember to ensure your time off does not interfere with your work, especially during AZSA’s busy audit season.","KIT_HR-Orientation_P6
KIT_HR-Orientation_P7
How to take vacation _ leave_P18"
"7","Are there any company rules around traveling overseas now?","Yes, there are several company rules around traveling overseas. Before requesting approval for a business trip, employees must check the information posted on the websites regarding safety and health risks at their travel destination(s). They must get approval via Concur from the appropriate authority before their business trip. The approval request should include a quote from MO Tourist and KIT GA (Akiko, Yamazaki or Natsuki, Iwai) should be added as the first approver. It's important to note that per diem is not provided when the purpose of the business trip is participating in training and by rule, employees must use economy class when traveling overseas to participate in training.","Business Trip_P5"
"8","Can I work from my parents' home outside of Japan?","The provided information does not specify whether you can work from your parents' home outside of Japan.","Quick Manual for Timesheet input_P13
Health Checkup_P15
正社員・契約社員 フレキシブル・ワーク規程_P4"
"9","How can I apply for working from my parents' home outside of Japan?","I don't know.","Visa Related_P37
Business Trip_P5
Add_Claim Dependent_P2"
"10","I will be married in the near future. What do I need to do after I get married?","After getting married, you need to follow these steps:

1. Register your new spouse: Submit the application on PIMS. Input necessary info to register your new spouse page. Download and fill out the ""corporate congratulatory bonus application form"" and submit it to HR Management via email at KIT-HR-MGMT@jp.kpmg.com.

2. If you're changing your name upon marriage: Submit the application on PIMS. Return your health insurance card (Original) to HR Management in order to update your name.

3. If you would like to receive a congratulatory telegram from KIT on the occasion of your wedding ceremony or reception, please contact HR Management.

4. Apply for a marriage congratulatory cash gift: The gift amount is 50,000 yen and is provided by KIT. Please refer to ""Registering a new spouse"" for the application process.

5. Take special paid leave: You can take a maximum of 5 days of marriage leave. This leave should be taken between 1 month before the marriage and 12 months after the marriage. Follow the procedure detail about taking vacation/leave and contact HR Management before the leave.

Remember to select ""結婚休暇/Marriage leave"" in Break/Leave/Other column or Multiple days of leave menu on Lysithea.","List of Vacation_ Leave_P24
Marriage Registration_P25
Health Checkup_P15"
